MAKE_CAR,MOTORCYCLE_MODEL,CYLINDER_CAPACITY,ENGINE_PERFORMANCE,MANUFACTURE_DATE,NUMBER_OF_SEATS_MOTORCYCLE,LIST_PRICE,ANNUAL_MILEAGE

Audi,Scooter,150,500,01/15/2020,2,40000,12000
BMW,Three-Wheeler,180,800,03/22/2018,3,50000,15000
Ford,Moped,120,300,05/10/2019,1,35000,10000
Honda,Motorcycle,160,1000,07/05/2021,2,45000,13000
Mazda,Scooter,140,700,09/12/2017,3,55000,18000
Mercedes Benz,Three-Wheeler,200,1500,11/28/2016,1,40000,12000
Nissan,Moped,170,900,02/14/2019,2,50000,15000
Opel,Motorcycle,190,1200,04/30/2020,3,35000,10000
Porsche,Scooter,130,600,06/25/2018,1,45000,13000
Renault,Three-Wheeler,180,1100,08/10/2021,2,55000,18000
Suzuki,Scooter,150,500,01/15/2020,3,40000,12000
Toyota,Three-Wheeler,180,800,03/22/2018,1,50000,15000
Volkswagen,Moped,120,300,05/10/2019,2,35000,10000
Volvo,Motorcycle,160,1000,07/05/2021,3,45000,13000
Audi,Scooter,140,700,09/12/2017,1,55000,18000
BMW,Three-Wheeler,200,1500,11/28/2016,2,40000,12000
Ford,Moped,170,900,02/14/2019,3,50000,15000
Honda,Motorcycle,190,1200,04/30/2020,1,35000,10000
Mazda,Scooter,130,600,06/25/2018,2,45000,13000
Mercedes Benz,Three-Wheeler,180,1100,08/10/2021,3,55000,18000
Nissan,Moped,150,500,01/15/2020,1,40000,12000
Opel,Motorcycle,180,800,03/22/2018,2,50000,15000
Porsche,Scooter,120,300,05/10/2019,3,35000,10000
Renault,Three-Wheeler,160,1000,07/05/2021,1,45000,13000
Suzuki,Scooter,200,1500,11/28/2016,2,55000,18000
Toyota,Three-Wheeler,170,900,02/14/2019,3,40000,12000
Volkswagen,Moped,190,1200,04/30/2020,1,50000,15000
Volvo,Motorcycle,130,600,06/25/2018,2,35000,10000
Audi,Scooter,180,1100,08/10/2021,3,45000,13000
Audi,Scooter,180,1100,08/10/2021,3,45000,13000
